Progress,Finished,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Daffodil International University,Male,"Bachelors, B.Sc., BS",2017,2 to 5 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly agree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Solved a few,Somewhat agree,Easy to work with,Strongly agree,Strongly agree,Strongly agree,A great deal,Very helpful,Neither agree nor disagree,A moderate amount,Somewhat disagree,Strongly agree
100,True,I do not agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2010,5 to 10 years,Software Developer/Engineer,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,A lot,Strongly agree,Other (I want to share my opinion),Neither agree nor disagree,Strongly agree,Strongly agree,A great deal,Very helpful,Strongly agree,A little,Somewhat disagree,Somewhat agree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Bangladesh University,Male,"Bachelors, B.Sc., BS",2019,2 to 5 years,Software Developer/Engineer,Disagree - major changes are needed,,,,,,,,Strongly disagree,,Strongly agree,Did not participate or solve,Strongly agree,Great team players,Strongly agree,Strongly agree,Strongly agree,A lot,Moderately helpful,Strongly agree,A great deal,Strongly agree,Strongly agree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2007,More than 10 years,Software Developer/Engineer,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Solved a few,Somewhat agree,Other (I want to share my opinion),Somewhat agree,Somewhat agree,Somewhat disagree,A lot,Slightly helpful,Somewhat agree,A moderate amount,Strongly disagree,Strongly agree
100,True,I agree,Yes,University of Development Alternative,Male,"Bachelors, B.Sc., BS",Please select ...,Less than 2 years,Software Developer/Engineer,Neither agree nor disagree,,,,,,,,,,Strongly agree,Solved a few,Somewhat agree,Easy to work with,Strongly agree,Strongly agree,Strongly agree,A lot,Slightly helpful,Neither agree nor disagree,A little,Somewhat disagree,Somewhat agree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I do not agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,"Other, not listed",Male,"Bachelors, B.Sc., BS",2019,Less than 2 years,UI Designer,Disagree - major changes are needed,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,A lot,Somewhat agree,Great team players,Somewhat agree,Neither agree nor disagree,Strongly agree,None at all,Moderately helpful,Neither agree nor disagree,A little,Somewhat disagree,Neither agree nor disagree
100,True,I agree,Yes,I studied in a different university in a different country,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,I studied in a different university in a different country,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,"Other, not listed",Male,"Bachelors, B.Sc., BS",2017,2 to 5 years,Software Developer/Engineer,Agree - minor changes are needed,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Did not participate or solve,Strongly agree,Easy to work with,Somewhat agree,Strongly agree,Strongly agree,A lot,Not helpful at all,Somewhat agree,A little,Strongly disagree,Strongly agree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Daffodil International University,Male,"Bachelors, B.Sc., BS",2017,Less than 2 years,Software Developer/Engineer,Agree - minor changes are needed,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Solved a few,Strongly agree,Easy to work with,Strongly agree,Strongly agree,Strongly agree,A great deal,Slightly helpful,Neither agree nor disagree,None at all,Strongly disagree,Strongly agree
100,True,I agree,Yes,"Other, not listed",Male,"Bachelors, B.Sc., BS",2017,Less than 2 years,Other (please specify),Disagree - major changes are needed,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Did not participate or solve,Strongly agree,I did not have such teammates,Neither agree nor disagree,Strongly agree,Strongly agree,A great deal,Not helpful at all,Strongly agree,A little,Strongly agree,Strongly agree
89,False,I agree,,Ahsanullah University of Science and Technology,Male,"Masters, M.Sc., MS",,Less than 2 years,Database Administrator,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,University of Dhaka (DU),I prefer not to share,"Bachelors, B.Sc., BS",Please select ...,2 to 5 years,Other (please specify),Disagree - major changes are needed,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Solved a few,Somewhat agree,Hard to work with,Strongly agree,Strongly agree,Strongly agree,A lot,Slightly helpful,Somewhat agree,A little,Neither agree nor disagree,Neither agree nor disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,"International Islamic University, Chittagong",Male,"Bachelors, B.Sc., BS",2010,5 to 10 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,A lot,Strongly agree,Easy to work with,Strongly agree,Strongly agree,Somewhat agree,A lot,Slightly helpful,Neither agree nor disagree,A little,Neither agree nor disagree,Neither agree nor disagree
100,True,I agree,Yes,"University of Asia Pacific,Bangladesh",Male,"Bachelors, B.Sc., BS",2017,2 to 5 years,DevOps,Disagree - major changes are needed,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,A lot,Strongly agree,Easy to work with,Strongly agree,Strongly agree,Strongly agree,A moderate amount,Slightly helpful,Strongly agree,A little,Somewhat disagree,Somewhat agree
100,True,I agree,Yes,National University,Male,"Masters, M.Sc., MS",2013,5 to 10 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,A lot,Strongly agree,Easy to work with,Strongly agree,Strongly agree,Somewhat agree,A little,Very helpful,Somewhat agree,A little,Somewhat disagree,Strongly agree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Please select ...,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Other,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2009,More than 10 years,Software Developer/Engineer,Strongly disagree - should be totally changed,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Solved a few,Somewhat agree,Easy to work with,Somewhat agree,Strongly agree,Neither agree nor disagree,A little,Very helpful,Neither agree nor disagree,A lot,Somewhat agree,Somewhat disagree
100,True,I agree,Other,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2018,Less than 2 years,Software Developer/Engineer,Disagree - major changes are needed,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Did not participate or solve,Somewhat agree,I did not have such teammates,Strongly agree,Strongly agree,Strongly agree,A little,Not helpful at all,Somewhat agree,A little,Neither agree nor disagree,Neither agree nor disagree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Masters, M.Sc., MS",2010,5 to 10 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly agree,A lot,Somewhat agree,Great team players,Neither agree nor disagree,Strongly agree,Somewhat agree,A moderate amount,Slightly helpful,Strongly agree,A moderate amount,Somewhat agree,Somewhat disagree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2009,5 to 10 years,Software Developer/Engineer,Disagree - major changes are needed,Somewhat disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Strongly agree,Solved a few,Somewhat agree,Easy to work with,Somewhat agree,Strongly agree,Strongly agree,A lot,Not helpful at all,Strongly agree,A little,Somewhat agree,Strongly agree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Masters, M.Sc., MS",2010,5 to 10 years,Software Architect,Strongly disagree - should be totally changed,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Did not participate or solve,Strongly disagree,Great team players,Somewhat agree,Strongly agree,Somewhat agree,A lot,Not helpful at all,Strongly agree,None at all,Strongly disagree,Strongly agree
100,True,I agree,Yes,University of Dhaka (DU),Female,"Bachelors, B.Sc., BS",2017,Less than 2 years,Software Developer/Engineer,Agree - minor changes are needed,Somewhat agree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Solved a few,Strongly agree,I did not have such teammates,Strongly agree,Somewhat agree,Somewhat agree,A moderate amount,Moderately helpful,Strongly agree,A little,Strongly agree,Neither agree nor disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2018,Less than 2 years,Software Developer/Engineer,Strongly agree - no change is needed,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Solved a few,Somewhat agree,Easy to work with,Strongly agree,Strongly agree,Somewhat agree,A moderate amount,Moderately helpful,Somewhat agree,A moderate amount,Neither agree nor disagree,Neither agree nor disagree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2019,Less than 2 years,Software Developer/Engineer,Disagree - major changes are needed,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Solved a few,Strongly agree,Easy to work with,Somewhat agree,Strongly agree,Strongly agree,A moderate amount,Slightly helpful,Somewhat disagree,A little,Strongly agree,Neither agree nor disagree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2009,5 to 10 years,Software Developer/Engineer,Disagree - major changes are needed,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Solved a few,Strongly agree,I did not have such teammates,Somewhat agree,Strongly agree,Strongly agree,A little,Not helpful at all,Neither agree nor disagree,A little,Somewhat disagree,Somewhat agree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Noakhali Science and Technology University,Male,"Bachelors, B.Sc., BS",2013,5 to 10 years,QA / Test Engineer / Test Automation Engineer,Agree - minor changes are needed,Strongly disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Did not participate or solve,Strongly agree,I did not have such teammates,Strongly agree,Strongly agree,Strongly agree,A lot,Slightly helpful,Somewhat agree,A moderate amount,Somewhat disagree,Strongly agree
100,True,I agree,Yes,University of Dhaka (DU),I prefer not to share,"Masters, M.Sc., MS",2017,Less than 2 years,Software Developer/Engineer,Agree - minor changes are needed,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Solved a few,Somewhat agree,Easy to work with,Strongly agree,Strongly agree,Strongly agree,A moderate amount,Very helpful,Somewhat agree,A moderate amount,Neither agree nor disagree,Neither agree nor disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Bangladesh University of Engineering & Technology (BUET),Male,"Masters, M.Sc., MS",2015,2 to 5 years,QA / Test Engineer / Test Automation Engineer,Disagree - major changes are needed,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Solved a few,Somewhat agree,Great team players,Strongly agree,Strongly agree,Somewhat agree,A lot,Moderately helpful,Somewhat agree,A moderate amount,Strongly agree,Somewhat agree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,University of Dhaka (DU),Male,"Masters, M.Sc., MS",2014,2 to 5 years,Other (please specify),Agree - minor changes are needed,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Solved a few,Neither agree nor disagree,Other (I want to share my opinion),Strongly agree,Strongly agree,Strongly agree,A moderate amount,Slightly helpful,Strongly agree,A little,Somewhat agree,Somewhat agree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2014,2 to 5 years,Other (please specify),Disagree - major changes are needed,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Solved a few,Strongly agree,Easy to work with,Somewhat disagree,Strongly agree,Strongly agree,A moderate amount,Moderately helpful,Somewhat agree,None at all,Somewhat agree,Somewhat disagree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2012,5 to 10 years,Software Developer/Engineer,Agree - minor changes are needed,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Solved a few,Strongly agree,Other (I want to share my opinion),Strongly agree,Somewhat agree,Strongly agree,A lot,Moderately helpful,Strongly disagree,A moderate amount,Other (I want to share my opinion),Somewhat disagree
100,True,I agree,Yes,National University,Male,"Masters, M.Sc., MS",Please select ...,More than 10 years,Software Developer/Engineer,Other (I want to share my opinion),,,Strongly agree,,,,,,,Strongly agree,Did not participate or solve,Strongly agree,Great team players,Somewhat agree,Somewhat agree,Strongly agree,A moderate amount,Moderately helpful,Strongly disagree,A little,Somewhat agree,Strongly disagree
100,True,I agree,Yes,East West University,Male,"Masters, M.Sc., MS",2011,2 to 5 years,System Analyst,Agree - minor changes are needed,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Solved a few,Strongly agree,Easy to work with,Somewhat agree,Somewhat agree,Strongly agree,A moderate amount,Slightly helpful,Neither agree nor disagree,A moderate amount,Strongly agree,Neither agree nor disagree
100,True,I do not agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Chittagong Independent University,Female,"Masters, M.Sc., MS",2010,5 to 10 years,Project Manager,Strongly agree - no change is needed,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,A lot,Strongly disagree,Hard to work with,Strongly disagree,Strongly agree,Strongly disagree,None at all,Extremely helpful,Neither agree nor disagree,A great deal,Strongly agree,Strongly agree
100,True,I agree,Yes,Bangladesh University of Engineering & Technology (BUET),Male,"Bachelors, B.Sc., BS",2017,2 to 5 years,Software Developer/Engineer,Agree - minor changes are needed,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,A lot,Somewhat agree,Great team players,Somewhat agree,Somewhat agree,Somewhat agree,A moderate amount,Slightly helpful,Somewhat disagree,A lot,Neither agree nor disagree,Neither agree nor disagree
100,True,I agree,Other,Bangladesh University of Engineering & Technology (BUET),Male,"Bachelors, B.Sc., BS",2009,More than 10 years,Other (please specify),Agree - minor changes are needed,Strongly disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Did not participate or solve,Somewhat agree,Easy to work with,Strongly agree,Somewhat agree,Strongly agree,A little,Slightly helpful,Somewhat agree,A moderate amount,Somewhat agree,Strongly disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Bangladesh University of Engineering & Technology (BUET),Male,"Bachelors, B.Sc., BS",2018,Less than 2 years,Business Analyst,Disagree - major changes are needed,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Solved a few,Strongly agree,Easy to work with,Somewhat agree,Strongly agree,Strongly agree,A little,Moderately helpful,Strongly agree,A little,Somewhat agree,Neither agree nor disagree
100,True,I agree,Yes,Bangladesh University of Engineering & Technology (BUET),Male,"Bachelors, B.Sc., BS",2017,2 to 5 years,Software Developer/Engineer,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Did not participate or solve,Neither agree nor disagree,I did not have such teammates,Somewhat agree,Strongly agree,Other (I want to share my opinion),A great deal,Not helpful at all,Neither agree nor disagree,A little,Somewhat disagree,Other (I want to share my opinion)
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Bangladesh University of Engineering & Technology (BUET),Male,"Bachelors, B.Sc., BS",2013,5 to 10 years,Software Developer/Engineer,Agree - minor changes are needed,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Solved a few,Strongly agree,Easy to work with,Strongly agree,Strongly agree,Strongly agree,A moderate amount,Slightly helpful,Strongly disagree,A moderate amount,Neither agree nor disagree,Somewhat agree
100,True,I agree,Yes,Bangladesh University of Engineering & Technology (BUET),Male,"Bachelors, B.Sc., BS",2015,2 to 5 years,Software Developer/Engineer,Agree - minor changes are needed,Neither agree nor disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Solved a few,Somewhat disagree,Easy to work with,Somewhat agree,Strongly agree,Strongly agree,A lot,Slightly helpful,Somewhat agree,A moderate amount,Somewhat agree,Somewhat disagree
100,True,I agree,Yes,Bangladesh University of Engineering & Technology (BUET),Male,"Bachelors, B.Sc., BS",2015,2 to 5 years,Software Developer/Engineer,Agree - minor changes are needed,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,A lot,Strongly agree,Easy to work with,Somewhat agree,Somewhat agree,Somewhat agree,A lot,Very helpful,Strongly disagree,A little,Somewhat agree,Somewhat agree
100,True,I agree,Yes,Bangladesh University of Engineering & Technology (BUET),Male,"Bachelors, B.Sc., BS",2017,2 to 5 years,Software Developer/Engineer,Disagree - major changes are needed,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Solved a few,Somewhat agree,Hard to work with,Strongly agree,Strongly agree,Strongly agree,A great deal,Slightly helpful,Neither agree nor disagree,A little,Neither agree nor disagree,Somewhat agree
100,True,I agree,Yes,Bangladesh University of Engineering & Technology (BUET),Male,"Bachelors, B.Sc., BS",2016,2 to 5 years,Product Manager,,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Solved a few,Strongly agree,Easy to work with,Somewhat agree,Strongly agree,Strongly agree,A lot,Slightly helpful,Strongly agree,A moderate amount,Somewhat disagree,Somewhat disagree
100,True,I agree,Yes,Bangladesh University of Engineering & Technology (BUET),Male,"Bachelors, B.Sc., BS",2013,5 to 10 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Other (I want to share my opinion),Other (I want to share my opinion),,,,,Strongly agree,,Slightly helpful,Strongly disagree,A little,Strongly agree,Strongly disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,University of Dhaka (DU),Male,"Masters, M.Sc., MS",2012,5 to 10 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Solved a few,Strongly agree,Easy to work with,Strongly agree,Strongly agree,Strongly agree,A little,Very helpful,Somewhat agree,A little,Somewhat agree,Somewhat agree
100,True,I agree,Yes,Bangladesh University of Engineering & Technology (BUET),Male,"Bachelors, B.Sc., BS",2014,2 to 5 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Solved a few,Somewhat disagree,Other (I want to share my opinion),Strongly disagree,Somewhat agree,Somewhat agree,A great deal,Very helpful,Strongly agree,A moderate amount,Strongly disagree,Strongly agree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,Bangladesh University of Engineering & Technology (BUET),Male,"Bachelors, B.Sc., BS",2017,Less than 2 years,Software Developer/Engineer,Agree - minor changes are needed,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Solved a few,Strongly agree,Great team players,Strongly agree,Somewhat agree,Somewhat agree,A little,Slightly helpful,Somewhat agree,A moderate amount,Somewhat agree,Neither agree nor disagree
100,True,I agree,No - I've never worked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,True,I agree,Yes,"Other, not listed",Male,"Masters, M.Sc., MS",2007,Less than 2 years,Business Analyst,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Did not participate or solve,Neither agree nor disagree,I did not have such teammates,Neither agree nor disagree,Strongly agree,Strongly agree,A moderate amount,Moderately helpful,Neither agree nor disagree,A little,Neither agree nor disagree,Somewhat agree
100,True,I agree,Yes,North South University,Male,"Bachelors, B.Sc., BS",2018,Less than 2 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Did not participate or solve,Neither agree nor disagree,Hard to work with,Strongly agree,Strongly agree,Strongly agree,A little,Extremely helpful,Somewhat agree,A moderate amount,Neither agree nor disagree,Somewhat disagree
100,True,I agree,Yes,Bangladesh University of Engineering & Technology (BUET),Male,"Bachelors, B.Sc., BS",2013,5 to 10 years,Software Developer/Engineer,Agree - minor changes are needed,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Did not participate or solve,Strongly agree,Great team players,Strongly agree,Somewhat agree,Strongly agree,A lot,Slightly helpful,Strongly disagree,A little,Strongly agree,Somewhat agree
100,True,I agree,Yes,Daffodil International University,I prefer not to share,"Bachelors, B.Sc., BS",2017,Less than 2 years,Software Developer/Engineer,Disagree - major changes are needed,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,A lot,Somewhat agree,I did not have such teammates,Somewhat agree,Strongly agree,Strongly agree,A moderate amount,Slightly helpful,Neither agree nor disagree,A little,Neither agree nor disagree,Neither agree nor disagree
100,True,I agree,Yes,Bangladesh University of Engineering & Technology (BUET),Male,"Bachelors, B.Sc., BS",2019,Less than 2 years,Software Developer/Engineer,Agree - minor changes are needed,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,A lot,Strongly agree,Easy to work with,Strongly agree,Strongly agree,Strongly agree,A moderate amount,Moderately helpful,Strongly disagree,A moderate amount,Somewhat agree,Strongly agree
100,True,I agree,Yes,University of Dhaka (DU),Male,"Bachelors, B.Sc., BS",2013,2 to 5 years,Software Developer/Engineer,Agree - minor changes are needed,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Strongly agree,Solved a few,Strongly agree,Hard to work with,Somewhat disagree,Somewhat agree,Strongly agree,None at all,Moderately helpful,Strongly disagree,A moderate amount,Strongly disagree,Strongly agree
